,date,volume
9025,2021-11-04 21:42:46+00:00,17
9024,2021-11-04 21:42:48+00:00,17
9023,2021-11-04 21:42:49+00:00,17
9022,2021-11-04 21:42:51+00:00,18
9021,2021-11-04 21:42:54+00:00,18
9020,2021-11-04 21:42:55+00:00,19
9019,2021-11-04 21:42:59+00:00,17
9018,2021-11-04 21:43:00+00:00,19
9017,2021-11-04 21:43:02+00:00,19
9016,2021-11-04 21:43:04+00:00,20
9015,2021-11-04 21:43:07+00:00,19
9014,2021-11-04 21:43:19+00:00,16
9013,2021-11-04 21:43:23+00:00,17
9012,2021-11-04 21:43:27+00:00,18
9011,2021-11-04 21:43:33+00:00,18
9010,2021-11-04 21:43:38+00:00,18
9009,2021-11-04 21:43:43+00:00,18
9008,2021-11-04 21:43:56+00:00,13
9007,2021-11-04 21:44:00+00:00,12
9006,2021-11-04 21:44:02+00:00,13
9005,2021-11-04 21:44:12+00:00,11
9004,2021-11-04 21:44:13+00:00,12
9003,2021-11-04 21:44:15+00:00,13
9002,2021-11-04 21:44:19+00:00,14
9001,2021-11-04 21:44:20+00:00,14
9000,2021-11-04 21:44:23+00:00,16
8999,2021-11-04 21:44:27+00:00,16
8998,2021-11-04 21:44:34+00:00,15
8997,2021-11-04 21:44:36+00:00,17
8996,2021-11-04 21:44:39+00:00,17
8995,2021-11-04 21:44:41+00:00,18
8994,2021-11-04 21:44:48+00:00,18
8993,2021-11-04 21:44:50+00:00,19
8992,2021-11-04 21:44:52+00:00,20
8991,2021-11-04 21:44:54+00:00,21
8990,2021-11-04 21:45:00+00:00,22
8989,2021-11-04 21:45:04+00:00,20
8988,2021-11-04 21:45:06+00:00,21
8987,2021-11-04 21:45:07+00:00,22
8986,2021-11-04 21:45:11+00:00,23
8985,2021-11-04 21:45:12+00:00,24
8984,2021-11-04 21:45:13+00:00,25
8983,2021-11-04 21:45:15+00:00,25
8982,2021-11-04 21:45:30+00:00,20
8981,2021-11-04 21:45:31+00:00,21
8980,2021-11-04 21:45:36+00:00,20
8979,2021-11-04 21:45:37+00:00,20
8978,2021-11-04 21:45:38+00:00,22
8977,2021-11-04 21:45:44+00:00,21
8976,2021-11-04 21:45:45+00:00,22
8975,2021-11-04 21:45:46+00:00,23
8974,2021-11-04 21:45:47+00:00,24
8973,2021-11-04 21:45:56+00:00,21
8972,2021-11-04 21:46:01+00:00,22
8971,2021-11-04 21:46:04+00:00,23
8970,2021-11-04 21:46:05+00:00,23
8969,2021-11-04 21:46:06+00:00,24
8968,2021-11-04 21:46:12+00:00,22
8967,2021-11-04 21:46:15+00:00,20
8966,2021-11-04 21:46:16+00:00,20
8965,2021-11-04 21:46:18+00:00,22
8964,2021-11-04 21:46:20+00:00,23
8963,2021-11-04 21:46:22+00:00,24
8962,2021-11-04 21:46:27+00:00,25
8961,2021-11-04 21:46:29+00:00,26
8960,2021-11-04 21:46:31+00:00,26
8959,2021-11-04 21:46:37+00:00,25
8958,2021-11-04 21:46:40+00:00,23
8957,2021-11-04 21:46:44+00:00,24
8956,2021-11-04 21:46:48+00:00,20
8955,2021-11-04 21:47:05+00:00,17
8954,2021-11-04 21:47:07+00:00,16
8953,2021-11-04 21:47:08+00:00,17
8952,2021-11-04 21:47:09+00:00,18
8951,2021-11-04 21:47:18+00:00,16
8950,2021-11-04 21:47:22+00:00,16
8949,2021-11-04 21:47:25+00:00,16
8948,2021-11-04 21:47:28+00:00,16
8947,2021-11-04 21:47:29+00:00,17
8946,2021-11-04 21:47:40+00:00,15
8945,2021-11-04 21:47:41+00:00,16
8944,2021-11-04 21:47:50+00:00,15
8943,2021-11-04 21:47:53+00:00,16
8942,2021-11-04 21:47:54+00:00,17
8941,2021-11-04 21:48:02+00:00,18
8940,2021-11-04 21:48:06+00:00,18
8939,2021-11-04 21:48:07+00:00,19
8938,2021-11-04 21:48:08+00:00,19
8937,2021-11-04 21:48:09+00:00,19
8936,2021-11-04 21:48:11+00:00,18
8935,2021-11-04 21:48:14+00:00,19
8934,2021-11-04 21:48:17+00:00,20
8933,2021-11-04 21:48:21+00:00,22
8932,2021-11-04 21:48:25+00:00,21
8931,2021-11-04 21:48:26+00:00,21
8930,2021-11-04 21:48:29+00:00,21
8929,2021-11-04 21:48:30+00:00,21
8928,2021-11-04 21:48:34+00:00,23
8927,2021-11-04 21:48:35+00:00,24
8926,2021-11-04 21:48:41+00:00,23
8925,2021-11-04 21:48:42+00:00,23
8924,2021-11-04 21:48:44+00:00,24
8923,2021-11-04 21:48:49+00:00,25
8922,2021-11-04 21:48:51+00:00,25
8921,2021-11-04 21:48:53+00:00,26
8920,2021-11-04 21:48:55+00:00,26
8919,2021-11-04 21:48:58+00:00,29
8918,2021-11-04 21:48:59+00:00,30
8917,2021-11-04 21:49:02+00:00,31
8916,2021-11-04 21:49:03+00:00,31
8915,2021-11-04 21:49:05+00:00,32
8914,2021-11-04 21:49:08+00:00,31
8913,2021-11-04 21:49:13+00:00,29
8912,2021-11-04 21:49:16+00:00,29
8911,2021-11-04 21:49:23+00:00,26
8910,2021-11-04 21:49:25+00:00,27
8909,2021-11-04 21:49:28+00:00,26
8908,2021-11-04 21:49:32+00:00,25
8907,2021-11-04 21:49:33+00:00,26
8906,2021-11-04 21:49:35+00:00,27
8905,2021-11-04 21:49:36+00:00,27
8904,2021-11-04 21:49:37+00:00,28
8903,2021-11-04 21:49:39+00:00,29
8902,2021-11-04 21:49:40+00:00,30
8901,2021-11-04 21:49:41+00:00,31
8900,2021-11-04 21:49:42+00:00,31
8899,2021-11-04 21:49:43+00:00,31
8898,2021-11-04 21:49:44+00:00,32
8897,2021-11-04 21:49:49+00:00,32
8896,2021-11-04 21:49:52+00:00,31
8895,2021-11-04 21:49:53+00:00,32
8894,2021-11-04 21:49:55+00:00,32
8893,2021-11-04 21:49:56+00:00,30
8892,2021-11-04 21:49:57+00:00,31
8891,2021-11-04 21:49:59+00:00,31
8890,2021-11-04 21:50:04+00:00,29
8889,2021-11-04 21:50:07+00:00,29
8888,2021-11-04 21:50:09+00:00,29
8887,2021-11-04 21:50:12+00:00,30
8886,2021-11-04 21:50:17+00:00,29
8885,2021-11-04 21:50:18+00:00,30
8884,2021-11-04 21:50:20+00:00,31
8883,2021-11-04 21:50:21+00:00,32
8882,2021-11-04 21:50:23+00:00,33
8881,2021-11-04 21:50:24+00:00,34
8880,2021-11-04 21:50:25+00:00,35
8879,2021-11-04 21:50:26+00:00,35
8878,2021-11-04 21:50:28+00:00,36
8877,2021-11-04 21:50:30+00:00,35
8876,2021-11-04 21:50:37+00:00,31
8875,2021-11-04 21:50:40+00:00,30
8874,2021-11-04 21:50:42+00:00,29
8873,2021-11-04 21:50:54+00:00,23
8872,2021-11-04 21:50:55+00:00,24
8871,2021-11-04 21:50:58+00:00,23
8870,2021-11-04 21:51:09+00:00,21
8869,2021-11-04 21:51:11+00:00,21
8868,2021-11-04 21:51:19+00:00,19
8867,2021-11-04 21:51:20+00:00,20
8866,2021-11-04 21:51:25+00:00,17
8865,2021-11-04 21:51:27+00:00,16
8864,2021-11-04 21:51:28+00:00,18
8863,2021-11-04 21:51:29+00:00,20
8862,2021-11-04 21:51:34+00:00,20
8861,2021-11-04 21:51:36+00:00,21
8860,2021-11-04 21:51:37+00:00,22
8859,2021-11-04 21:51:38+00:00,22
8858,2021-11-04 21:51:46+00:00,22
8857,2021-11-04 21:51:48+00:00,23
8856,2021-11-04 21:51:50+00:00,24
8855,2021-11-04 21:51:51+00:00,25
8854,2021-11-04 21:51:52+00:00,27
8853,2021-11-04 21:51:54+00:00,28
8852,2021-11-04 21:51:55+00:00,28
8851,2021-11-04 21:51:58+00:00,27
8850,2021-11-04 21:52:06+00:00,27
8849,2021-11-04 21:52:11+00:00,28
8848,2021-11-04 21:52:14+00:00,28
8847,2021-11-04 21:52:18+00:00,29
8846,2021-11-04 21:52:29+00:00,22
8845,2021-11-04 21:52:31+00:00,21
8844,2021-11-04 21:52:33+00:00,22
8843,2021-11-04 21:52:36+00:00,22
