tweet_created_at,tweet_id,tweet_text,tweet_source,tweet_retweet_count,tweet_favorite_count,tweet_created_date
2021-10-31 02:17:03+00:00,1.45E+18,"What's the 'Metaverse'?

#Esports #Women #Zelda #100DaysOfCode #Streamergirl #USA #RealEstate #BTC #cosplay… https://t.co/7vQhf9wl5g",Twitter Web App,9,7,10/31/2021
2021-11-04 13:28:26+00:00,1.46E+18,"Makin' it happ'n with Kapp'n

#AnimalCrossing #ACNH #NintendoSwitch https://t.co/IwRU4LpHpe",Nintendo Switch Share,9,66,11/4/2021
2021-10-31 15:09:51+00:00,1.45E+18,I WAS DOING NO SUCH THING. #AnimalCrossing #ACNH #NintendoSwitch https://t.co/GqK4VuBQ2e,Nintendo Switch Share,9,143,10/31/2021
2021-11-05 01:07:24+00:00,1.46E+18,She glows!!! T___T #AnimalCrossing #ACNH #NintendoSwitch https://t.co/DXaSB8LTrv,Nintendo Switch Share,9,80,11/5/2021
2021-10-31 23:41:55+00:00,1.45E+18,Halloween Hangout #AnimalCrossing #ACNH #NintendoSwitch https://t.co/qojsxBNTBa,Nintendo Switch Share,9,54,10/31/2021
2021-11-04 13:28:26+00:00,1.46E+18,"Makin' it happ'n with Kapp'n

#AnimalCrossing #ACNH #NintendoSwitch https://t.co/IwRU4LpHpe",Nintendo Switch Share,9,67,11/4/2021
2021-11-05 23:03:48+00:00,1.46E+18,"A touch of magic 💫

#ACNH #Nintendo #NintendoSwitch #AnimalCrossing
#AnimalCrossingNewHorizons
#ACNHUpdate https://t.co/ihz5gcp6U1",Twitter for Android,9,42,11/5/2021
2021-11-02 22:40:53+00:00,1.46E+18,"Goodnight! 😴 Just reminding you all you’re cute af and you deserve happiness 🤍
#ACNH #acnhinspo #AnimalCrossing… https://t.co/iteoxIxclI",Twitter for iPhone,9,45,11/2/2021
2021-10-30 07:46:41+00:00,1.45E+18,Im ready for this weekend #AnimalCrossing #ACNH #NintendoSwitch https://t.co/buRebDpYRl,Nintendo Switch Share,9,73,10/30/2021
2021-10-31 04:54:48+00:00,1.45E+18,"Marlo on froggy chair
#animalcrossing https://t.co/wN02OcNFZp",Twitter for iPad,9,57,10/31/2021
2021-10-30 11:34:46+00:00,1.45E+18,"Happy Halloween weekend!! 😃🍭🍬🌙 Yay! 💛
#ACNH #artwork #halloween2021 #AnimalCrossingNewHorizons #AnimalCrossing… https://t.co/Uq1Q20ufer",Twitter for iPad,9,30,10/30/2021
2021-10-30 11:48:00+00:00,1.45E+18,"Is it a pumpkin? ... is it an Aeoni? ... It's a Pumpkaeoni!
🎃🍰

#Halloween #halloween2021 #screenshotsaturday… https://t.co/YW1XkozSto",Twitter Web App,9,33,10/30/2021
2021-11-05 22:07:18+00:00,1.46E+18,"☆[Vtuber]☆  Our Lady &amp; Savior is on Island Time :heart: Short Stream Today https://t.co/ndSlDHsx3S 

#catgirl… https://t.co/5jkk5RbD8G",Twitter Web App,9,5,11/5/2021
2021-11-05 14:14:26+00:00,1.46E+18,"Vesta deserves a cozy vacation home 🥺

Lottie told me to rest from work today... No one ever had to tell me that be… https://t.co/rdfrdli6pG",Twitter for iPhone,9,123,11/5/2021
2021-11-05 18:41:12+00:00,1.46E+18,here you are #동물의숲 #AnimalCrossing #ACNH #NintendoSwitch https://t.co/O4PXTGe2e7,Nintendo Switch Share,9,55,11/5/2021
2021-10-31 15:48:04+00:00,1.45E+18,There is one impostor among us #AnimalCrossing #ACNH #NintendoSwitch https://t.co/Fk6OwDqK8i,Nintendo Switch Share,9,25,10/31/2021
2021-10-31 18:30:45+00:00,1.45E+18,"Another pic of Murphy's house cause I love this preset and this area of my island 💚🍂 Also, Happy Halloween everybod… https://t.co/F1hQMACSjg",Twitter Web App,9,53,10/31/2021
2021-11-04 22:33:29+00:00,1.46E+18,"I love him so much 😭 
#AnimalCrossing #PocketCamp #ACPC #Sasha https://t.co/w7WgxXYK3u",Twitter for iPhone,9,71,11/4/2021
2021-11-04 20:23:39+00:00,1.46E+18,"to say the least, update 2.0 has been absolutely...OVERWHELMING!
this video breaks down everything you need to know… https://t.co/FtbEUfxZAh",Twitter Web App,9,16,11/4/2021
2021-11-03 00:10:00+00:00,1.46E+18,"✨flash giveaway - 7:10-7:15✨

golden tools + diys and gold nuggets

-like to enter
-ends in 5 minutes
-i will dm yo… https://t.co/bJ24pGu88V",Twitter Web App,9,36,11/3/2021
2021-11-02 13:25:20+00:00,1.46E+18,"💫

Game - #AnimalCrossingNewHorizons 

#VGPUnite #WorldofVP #ArtisticofSociety #VPEclipse #TheCapturedCollective… https://t.co/uaFrkic1mE",Twitter Web App,9,30,11/2/2021
2021-11-04 22:54:52+00:00,1.46E+18,"moss field. Moss field!  
M o s s  F i e l d ! ! !
 #AnimalCrossing #ACNH #NintendoSwitch https://t.co/cTb8CS302D",Nintendo Switch Share,9,76,11/4/2021
2021-11-05 15:42:43+00:00,1.46E+18,Glowing moss pond #AnimalCrossing #ACNH #NintendoSwitch https://t.co/JineEBybG1,Nintendo Switch Share,9,76,11/5/2021
2021-11-03 00:35:00+00:00,1.46E+18,"✨flash giveaway - 7:35-7:40✨

a drawing of your rep by my friend nessie!

-like to enter
-ends in 5 minutes
-i will… https://t.co/egB3vmzXJE",Twitter Web App,9,64,11/3/2021
2021-10-30 06:53:55+00:00,1.45E+18,Made my first sweater and hat design! Hope it looks ok ;u;/  #AnimalCrossing #ACNH #NintendoSwitch https://t.co/1s3BvLTz7v,Nintendo Switch Share,9,65,10/30/2021
2021-11-02 17:17:22+00:00,1.46E+18,"not sure what to get... 🧃

#AnimalCrossing #ACNH #ACNHDesign #AnimalCrossingDesigns #NintendoSwitch… https://t.co/fCyyrV9CQ6",Twitter Web App,9,82,11/2/2021
2021-11-01 16:07:29+00:00,1.46E+18,"I’m hosting a giveaway with some friends!! THREE (3) lucky people will win:

•HAPPY HOME PARADISE DLC
⦁400 NMT
⦁40… https://t.co/QKBiAR189i",Twitter for iPhone,9,55,11/1/2021
2021-11-05 16:11:00+00:00,1.46E+18,"Hope everyone's enjoying the update 😊 Please look at some of my fanart ~
 #acnh #AnimalCrossing https://t.co/bgrfKJLheh",Twitter Web App,9,8,11/5/2021
2021-10-31 01:21:28+00:00,1.45E+18,"My island is about to get real fruity

❤️🐱🐰💙

 [#AnimalCrossing #Sasha #KidCat] https://t.co/8yWWXW85p7",Twitter Web App,9,22,10/31/2021
2021-11-05 21:51:18+00:00,1.46E+18,"🌸Join me today in Animal Crossing New Horizons as I explore the DLC and New 2.0 Update more, and island visits late… https://t.co/VRmiwHPwaa",Twitter Web App,9,8,11/5/2021
2021-11-05 21:03:42+00:00,1.46E+18,pain #AnimalCrossing #ACNH #NintendoSwitch https://t.co/yLsVOuIaMt,Nintendo Switch Share,9,57,11/5/2021
2021-11-04 18:12:44+00:00,1.46E+18,"brb. my island needs me.
https://t.co/gspP469KKl #AnimalCrossing https://t.co/FImqBlLqv3",Twitter Web App,9,191,11/4/2021
2021-11-05 18:28:56+00:00,1.46E+18,"More #AnimalCrossing fun at 3:30 - we are going to:

🧑‍🌾Work on the farm
   👨‍🍳   Try our hand at cooking
   🌴   Vi… https://t.co/jfnWuBnMRp",Twitter Web App,9,15,11/5/2021
2021-11-03 00:55:00+00:00,1.46E+18,"✨flash giveaway - 7:55-8:00✨

any villager in boxes (plot not req now)

-like to enter
-ends in 5 minutes
-i will d… https://t.co/JlIYI0iXdQ",Twitter Web App,9,40,11/3/2021
2021-11-03 00:05:00+00:00,1.46E+18,"✨flash giveaway - 7:05-7:10✨

40 royal crowns

-like to enter
-ends in 5 minutes
-i will dm you if you win but pick… https://t.co/0cJgs9QgH5",Twitter Web App,9,49,11/3/2021
2021-11-01 02:33:47+00:00,1.46E+18,"obsessed with the way teddy, an orange bear, dressed up as an orange bear #AnimalCrossing #ACNH #NintendoSwitch https://t.co/8cD4zR1RrH",Nintendo Switch Share,9,20,11/1/2021
2021-11-01 14:51:00+00:00,1.46E+18,"After ""Halloween-Sylph"" something more relaxing. 😇🍰🍪

#farminggame #indiedev #gamedev #indiegames #IndieGameDev… https://t.co/9DZtYDHPts",Twitter Web App,9,34,11/1/2021
2021-10-31 18:40:05+00:00,1.45E+18,"billy’s beach house 🪵

— #acnh #animalcrossing https://t.co/1hTPb7ja9U",Twitter for iPhone,9,47,10/31/2021
2021-11-05 15:39:28+00:00,1.46E+18,as soon i end stream... gabi comes plaaaaaayyyy #AnimalCrossing #ACNH #NintendoSwitch https://t.co/hi54VNE8mI,Nintendo Switch Share,9,265,11/5/2021
2021-11-01 07:01:08+00:00,1.46E+18,"it’s raining heavy outside ⛈
#animalcrossing https://t.co/ReuiXBpcRs",Twitter for iPhone,9,62,11/1/2021
2021-11-05 14:19:45+00:00,1.46E+18,Glad you’re back 💚 #animalcrossing #acnh https://t.co/fXyYjow0Pc,Twitter for iPad,9,38,11/5/2021
2021-11-03 00:30:00+00:00,1.46E+18,"✨flash giveaway - 7:30-7:35✨

a trip to magnolia!

-like to enter
-ends in 5 minutes
-i will dm you if you win but… https://t.co/STvSRwgAvk",Twitter Web App,9,58,11/3/2021
2021-10-30 05:00:37+00:00,1.45E+18,"#Parkour Physics

#Esports #Women #Zelda #100DaysOfCode #Streamer #USA #RealEstate #BTC #cosplay #AnimalCrossing… https://t.co/uZzkaQwbmz",Twitter Web App,9,9,10/30/2021
2021-10-31 14:33:44+00:00,1.45E+18,"doodled the boy! #sasha #animalcrossing 
exciting times for transmascs everywhere https://t.co/IobUsrOzrm",Twitter Web App,8,19,10/31/2021
2021-10-31 14:14:50+00:00,1.45E+18,Happy Halloween Everyone!! 🎃👻 @animalcrossing @Pocket_Camp #ACPC #PocketCamp #AnimalCrossing #Sasha #ACPCgallery… https://t.co/Rt2yHrLTAp,Twitter for iPad,8,65,10/31/2021
2021-11-04 16:08:54+00:00,1.46E+18,"ohhh I found a mystery island that has star fragments in rocks, along the beach, and there's a meteor shower too!… https://t.co/kwKyMIV6AT",Nintendo Switch Share,8,62,11/4/2021
2021-11-03 00:15:00+00:00,1.46E+18,"✨flash giveaway - 7:15-7:20✨

maple leaf/trees bounty + diys + mats

-like to enter
-ends in 5 minutes
-i will dm y… https://t.co/r5dr2Wh3re",Twitter Web App,8,41,11/3/2021
2021-11-04 15:39:17+00:00,1.46E+18,EXCUSE ME????? #AnimalCrossing #ACNH https://t.co/qZCSMgimPv,Nintendo Switch Share,8,118,11/4/2021
2021-11-04 16:35:20+00:00,1.46E+18,EVERYONE LOOKING FOR BREWSTER: apparently these are the requirements? #ACNH #ACNHUpdate #AnimalCrossing https://t.co/d1o6CCBpum,Twitter for iPhone,8,30,11/4/2021
2021-10-30 23:05:02+00:00,1.45E+18,"sasha from animal cross

#acnh #animalcrossing https://t.co/BjDtNyGBug",Twitter Web App,8,21,10/30/2021
2021-11-05 00:54:19+00:00,1.46E+18,"PRESIDENT NOOK IS IT??
i dont remember there being a VOTE sir

#AnimalCrossing #ACNH #NintendoSwitch https://t.co/x1oKF6OSrV",Nintendo Switch Share,8,56,11/5/2021
2021-11-05 21:05:42+00:00,1.46E+18,"Drew some random #AnimalCrossing villagers as humans! Super hyped about the update, what’s your favorite part? https://t.co/ztaJhk2RFN",Twitter for iPad,8,19,11/5/2021
2021-11-05 17:54:04+00:00,1.46E+18,"on fridays, we farm 👩🏻‍🌾🌾

+ #ACNH #AnimalCrossing https://t.co/0jfjir45x2",Twitter for iPhone,8,56,11/5/2021
2021-11-05 18:33:35+00:00,1.46E+18,rise for the flag :)  #AnimalCrossing #ACNH #NintendoSwitch https://t.co/FAjM8Ng608,Nintendo Switch Share,8,30,11/5/2021
2021-10-31 01:27:16+00:00,1.45E+18,"SASHA !! 🐇
i love him so much :)

#AnimalCrossing #ACNH https://t.co/hI2AfpLCTD",Twitter for iPhone,8,21,10/31/2021
2021-11-04 16:06:44+00:00,1.46E+18,"Loving the new camera angles🍂🪵🍁
#acnh #AnimalCrossingNewHorizons #animalcrossing https://t.co/ug1HHnPILl",Twitter for iPad,8,92,11/4/2021
2021-10-30 00:08:14+00:00,1.45E+18,"been a long while since I have used copics, so here is my latest attempt featuring sasha and cephalobot… https://t.co/CtYGoueRbQ",Twitter for iPhone,8,24,10/30/2021
2021-11-04 19:17:58+00:00,1.46E+18,this new sofa suits the livingroom so well aaaaah #AnimalCrossing #ACNH #NintendoSwitch https://t.co/Qq5FqfvYxT,Nintendo Switch Share,8,22,11/4/2021
2021-11-05 21:06:55+00:00,1.46E+18,"NEW UPDATE AND DLC! Come hang out with me and chat~
I wanna play for a long while, but I'm not sure how long I can… https://t.co/O8moYMYpNO",Twitter Web App,8,15,11/5/2021
2021-10-31 02:39:17+00:00,1.45E+18,"More of my villagers!

Siblings Judy and Stitches! 🧸

 [#AnimalCrossing #Judy #Stitches] https://t.co/FC1pAhcK5M",Twitter Web App,8,10,10/31/2021
2021-11-05 20:32:42+00:00,1.46E+18,"Look at them go~!
#AnimalCrossing #ACNH #NintendoSwitch https://t.co/TEIInSFGpl",Nintendo Switch Share,8,42,11/5/2021
