,tweet_emojis
10431,{'✨': 'sparkles'}
10435,{'\U0001f972': 'smiling face with tear'}
10442,"{'🍁': 'maple leaf', '🍂': 'fallen leaf', '🍎': 'red apple'}"
10444,"{'😭': 'loudly crying face', '😂': 'face with tears of joy'}"
10451,{'🤩': 'star-struck'}
10465,{'😔': 'pensive face'}
10497,{'🥰': 'smiling face with hearts'}
10516,"{'💤': 'zzz', '🍎': 'red apple'}"
10522,"{'🏝': 'desert island', '🏖': 'beach with umbrella'}"
10531,{'❤️': 'red heart'}
10536,"{'🌿': 'herb', '⚜️': 'fleur-de-lis'}"
10539,{'♥': 'heart suit'}
10540,{'🎨': 'artist palette'}
10557,"{'☺️': 'smiling face', '🤩': 'star-struck', '✨': 'sparkles', '💜': 'purple heart'}"
10570,"{'😭': 'loudly crying face', '❤️': 'red heart', '🥺': 'pleading face'}"
10579,"{'👇🏻': 'backhand index pointing down: light skin tone', '❤️': 'red heart', '💖': 'sparkling heart', '‼️': 'double exclamation mark'}"
10581,{'🎶': 'musical notes'}
10583,{'🎁': 'wrapped gift'}
10596,{'👀': 'eyes'}
10600,{'🥠': 'fortune cookie'}
10601,"{'🌈': 'rainbow', '😅': 'grinning face with sweat'}"
10605,"{'🍂': 'fallen leaf', '🌾': 'sheaf of rice'}"
10611,{'👀': 'eyes'}
10624,{'❤️': 'red heart'}
10629,"{'💰': 'money bag', '🏝': 'desert island', '\U0001f9a4': 'dodo'}"
10632,{'🤎': 'brown heart'}
10636,{'😊': 'smiling face with smiling eyes'}
10642,"{'🥠': 'fortune cookie', '🥳': 'partying face'}"
10649,{'🥱': 'yawning face'}
10650,"{'🥰': 'smiling face with hearts', '🐇': 'rabbit', '💚': 'green heart', '💙': 'blue heart'}"
10663,"{'🐻': 'bear', '🍪': 'cookie'}"
10664,"{'🍂': 'fallen leaf', '✨': 'sparkles'}"
10667,"{'🌲': 'evergreen tree', '🎣': 'fishing pole', '🌻': 'sunflower', '💙': 'blue heart'}"
10668,"{'🎈': 'balloon', '🕹': 'joystick'}"
10676,{'✨': 'sparkles'}
10682,{'\U0001f972': 'smiling face with tear'}
10693,{'🍎': 'red apple'}
10695,"{'🍂': 'fallen leaf', '👒': 'woman’s hat'}"
10700,"{'🔥': 'fire', '✨': 'sparkles'}"
10713,{'♥': 'heart suit'}
10714,{'♥': 'heart suit'}
10722,{'🌴': 'palm tree'}
10727,"{'🌼': 'blossom', '💐': 'bouquet'}"
10729,"{'😭': 'loudly crying face', '🥺': 'pleading face'}"
10730,"{'❤️': 'red heart', '🥺': 'pleading face'}"
10736,"{'🤑': 'money-mouth face', '🥳': 'partying face', '✨': 'sparkles'}"
10739,{'✨': 'sparkles'}
10742,{'🥰': 'smiling face with hearts'}
10744,"{'🌲': 'evergreen tree', '🌳': 'deciduous tree'}"
10764,{'♥': 'heart suit'}
10767,{'♥': 'heart suit'}
10773,{'♥': 'heart suit'}
10775,{'♥': 'heart suit'}
10776,"{'🦇': 'bat', '🎃': 'jack-o-lantern', '💜': 'purple heart'}"
10777,{'♥': 'heart suit'}
10785,{'♥': 'heart suit'}
10788,{'🍄': 'mushroom'}
10789,{'🌲': 'evergreen tree'}
10792,{'❤️': 'red heart'}
10793,"{'🖤': 'black heart', '☠': 'skull and crossbones'}"
10795,"{'☺️': 'smiling face', '✨': 'sparkles'}"
10796,{'♥': 'heart suit'}
10802,{'♥': 'heart suit'}
10804,{'♥': 'heart suit'}
10807,{'❤️': 'red heart'}
10813,"{'🎻': 'violin', '🎶': 'musical notes'}"
10817,{'🍄': 'mushroom'}
10836,"{'🏝': 'desert island', '🙀': 'weary cat'}"
10841,{'☕': 'hot beverage'}
10846,{'🎃': 'jack-o-lantern'}
10864,{'😭': 'loudly crying face'}
10869,{'🥺': 'pleading face'}
10875,{'✨': 'sparkles'}
10877,"{'🔬': 'microscope', '🐛': 'bug'}"
10885,"{'🍪': 'cookie', '🍰': 'shortcake', '😇': 'smiling face with halo'}"
10890,{'😌': 'relieved face'}
10901,{'⤵️': 'right arrow curving down'}
10906,{'🙄': 'face with rolling eyes'}
10907,"{'🦌': 'deer', '❤️': 'red heart', '😂': 'face with tears of joy'}"
10911,{'🌸': 'cherry blossom'}
10912,{'🏝️': 'desert island'}
10916,{'🎃': 'jack-o-lantern'}
10920,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
10934,{'😂': 'face with tears of joy'}
10937,"{'🌚': 'new moon face', '😵\u200d💫': 'face with spiral eyes'}"
10945,"{'🌼': 'blossom', '🍆': 'eggplant', '🥺': 'pleading face'}"
10957,{'🍂': 'fallen leaf'}
10965,"{'\U0001f9a4': 'dodo', '❤️\u200d🔥': 'heart on fire'}"
10976,"{'🌾': 'sheaf of rice', '✨': 'sparkles'}"
11020,"{'🥰': 'smiling face with hearts', '😭': 'loudly crying face'}"
11030,{'🗣️': 'speaking head'}
11031,"{'😭': 'loudly crying face', '✨': 'sparkles', '💜': 'purple heart'}"
11036,{'😁': 'beaming face with smiling eyes'}
11045,{'🤔': 'thinking face'}
11048,{'♥': 'heart suit'}
11049,"{'👻': 'ghost', '☠️': 'skull and crossbones'}"
11050,{'🤔': 'thinking face'}
11051,{'😂': 'face with tears of joy'}
11052,"{'🎣': 'fishing pole', '😳': 'flushed face', '🥰': 'smiling face with hearts'}"
11054,"{'🍭': 'lollipop', '🎃': 'jack-o-lantern'}"
11055,"{'🥰': 'smiling face with hearts', '🏝': 'desert island', '💪🏻': 'flexed biceps: light skin tone'}"
11060,{'🎃': 'jack-o-lantern'}
11062,"{'🙌': 'raising hands', '🥳': 'partying face', '💖': 'sparkling heart'}"
11072,{'⭐': 'star'}
11073,{'🥺': 'pleading face'}
11074,{'🍄': 'mushroom'}
11075,{'💰': 'money bag'}
11086,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
11088,"{'🤍': 'white heart', '✨': 'sparkles'}"
11094,{'♥': 'heart suit'}
11098,{'🌴': 'palm tree'}
11103,{'🥺': 'pleading face'}
11108,{'♥': 'heart suit'}
11125,"{'🥰': 'smiling face with hearts', '🐾': 'paw prints'}"
11128,{'♥': 'heart suit'}
11133,"{'🌱': 'seedling', '🎉': 'party popper', '\U0001f972': 'smiling face with tear', '❤️': 'red heart', '🥕': 'carrot', '✨': 'sparkles'}"
11134,{'♥': 'heart suit'}
11143,{'🍨': 'ice cream'}
11144,{'🥺': 'pleading face'}
11156,{'😃': 'grinning face with big eyes'}
11161,{'😬': 'grimacing face'}
11163,{'🍂': 'fallen leaf'}
11165,"{'😅': 'grinning face with sweat', '🎃': 'jack-o-lantern'}"
11167,"{'🤎': 'brown heart', '🌾': 'sheaf of rice', '🍂': 'fallen leaf', '🍄': 'mushroom'}"
11168,{'🧡': 'orange heart'}
11170,"{'🥰': 'smiling face with hearts', '🌹': 'rose'}"
11171,{'\U0001fab2': 'beetle'}
11178,{'✨': 'sparkles'}
11179,{'❤': 'red heart'}
11181,"{'⛺': 'tent', '🌼': 'blossom'}"
11193,{'💚': 'green heart'}
11200,"{'🎂': 'birthday cake', '🥳': 'partying face'}"
11205,{'♥': 'heart suit'}
11214,{'♥': 'heart suit'}
11217,{'🥺': 'pleading face'}
11223,{'💟': 'heart decoration'}
11229,{'🥺': 'pleading face'}
11237,"{'🧙\u200d♀️': 'woman mage', '🎉': 'party popper', '🎃': 'jack-o-lantern', '😘': 'face blowing a kiss', '💕': 'two hearts', '✨': 'sparkles'}"
11238,{'♥': 'heart suit'}
11244,{'🙃': 'upside-down face'}
11250,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
11253,"{'👻': 'ghost', '👿': 'angry face with horns', '🎃': 'jack-o-lantern'}"
11254,"{'😅': 'grinning face with sweat', '🍆': 'eggplant', '😂': 'face with tears of joy', '😇': 'smiling face with halo'}"
11261,{'🪓': 'axe'}
11262,{'✨': 'sparkles'}
11264,{'❄': 'snowflake'}
11270,"{'💰': 'money bag', '💯': 'hundred points', '🥰': 'smiling face with hearts'}"
11271,{'🎂': 'birthday cake'}
11275,"{'🐶': 'dog face', '🥰': 'smiling face with hearts'}"
11276,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
11277,{'💗': 'growing heart'}
11278,{'🎗': 'reminder ribbon'}
11294,"{'🍂': 'fallen leaf', '\U0001fab5': 'wood', '🍁': 'maple leaf', '🍄': 'mushroom'}"
11301,{'🐟': 'fish'}
11302,{'🐞': 'lady beetle'}
11317,"{'🍂': 'fallen leaf', '🧣': 'scarf', '🤎': 'brown heart', '🧸': 'teddy bear'}"
11321,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
11333,{'😯': 'hushed face'}
11341,{'🐁': 'mouse'}
11342,{'🎃': 'jack-o-lantern'}
11350,{'🍃': 'leaf fluttering in wind'}
11357,{'\U0001f972': 'smiling face with tear'}
11361,{'🙂': 'slightly smiling face'}
11374,"{'🔥': 'fire', '🥠': 'fortune cookie', '🤩': 'star-struck'}"
11377,{'🍂': 'fallen leaf'}
11398,"{'🎣': 'fishing pole', '🥠': 'fortune cookie'}"
11405,{'😂': 'face with tears of joy'}
11413,{'🌺': 'hibiscus'}
11416,"{'🍃': 'leaf fluttering in wind', '🎃': 'jack-o-lantern', '🐚': 'spiral shell'}"
11418,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
11423,"{'🍂': 'fallen leaf', '🤍': 'white heart', '🍄': 'mushroom'}"
11432,{'😐': 'neutral face'}
11449,{'🌾': 'sheaf of rice'}
11460,{'🎃': 'jack-o-lantern'}
11463,"{'🤣': 'rolling on the floor laughing', '😅': 'grinning face with sweat', '😂': 'face with tears of joy', '🧐': 'face with monocle'}"
11476,{'🎃': 'jack-o-lantern'}
11477,"{'🥰': 'smiling face with hearts', '🛩': 'small airplane'}"
11479,"{'🎃': 'jack-o-lantern', '😀': 'grinning face', '🍭': 'lollipop', '👾': 'alien monster', '👻': 'ghost', '❤️': 'red heart', '🎮': 'video game'}"
11480,"{'🧡': 'orange heart', '😊': 'smiling face with smiling eyes', '🎃': 'jack-o-lantern'}"
11503,{'🎃': 'jack-o-lantern'}
11508,{'🎃': 'jack-o-lantern'}
11511,"{'🎃': 'jack-o-lantern', '🕸': 'spider web'}"
11518,"{'💛': 'yellow heart', '🌼': 'blossom'}"
11530,"{'🎃': 'jack-o-lantern', '😂': 'face with tears of joy'}"
11553,"{'🏝': 'desert island', '🏠': 'house'}"
11560,{'😄': 'grinning face with smiling eyes'}
11565,"{'😗': 'kissing face', '🏃': 'person running'}"
11571,{'🎃': 'jack-o-lantern'}
11578,"{'🍬': 'candy', '🎃': 'jack-o-lantern'}"
11584,{'👁': 'eye'}
11597,{'⛈': 'cloud with lightning and rain'}
11598,{'🏃': 'person running'}
11608,"{'🤪': 'zany face', '💁': 'person tipping hand', '🏃': 'person running'}"
11610,"{'🖤': 'black heart', '🌙': 'crescent moon'}"
11617,"{'🚩': 'triangular flag', '❤️': 'red heart', '🏰': 'castle'}"
11619,{'🏡': 'house with garden'}
11623,{'🎃': 'jack-o-lantern'}
11631,{'💕': 'two hearts'}
11633,{'🎃': 'jack-o-lantern'}
11646,{'🧡': 'orange heart'}
11649,"{'💖': 'sparkling heart', '🥺': 'pleading face'}"
11652,"{'🔪': 'kitchen knife', '😈': 'smiling face with horns', '💜': 'purple heart'}"
11655,{'✨': 'sparkles'}
11659,{'😁': 'beaming face with smiling eyes'}
11676,"{'❤': 'red heart', '🎃': 'jack-o-lantern', '🥺': 'pleading face'}"
11684,{'🤩': 'star-struck'}
11685,"{'😭': 'loudly crying face', '🤦\u200d♂️': 'man facepalming'}"
11696,"{'😢': 'crying face', '🥺': 'pleading face'}"
11711,{'💕': 'two hearts'}
11712,{'🎃': 'jack-o-lantern'}
11729,"{'🦇': 'bat', '🎃': 'jack-o-lantern', '🍭': 'lollipop'}"
11738,{'🎃': 'jack-o-lantern'}
11750,{'\U0001f972': 'smiling face with tear'}
11764,{'😭': 'loudly crying face'}
11778,{'🏝️': 'desert island'}
11781,{'\U0001f972': 'smiling face with tear'}
11784,{'♥': 'heart suit'}
11790,{'🍭': 'lollipop'}
11803,{'😡': 'pouting face'}
11819,{'🎃': 'jack-o-lantern'}
11821,{'😭': 'loudly crying face'}
11823,{'🔵': 'blue circle'}
11830,{'🥰': 'smiling face with hearts'}
11856,{'🎃': 'jack-o-lantern'}
11860,{'♥': 'heart suit'}
11863,{'😌': 'relieved face'}
11873,"{'🎃': 'jack-o-lantern', '⚰️': 'coffin', '🔮': 'crystal ball', '🥳': 'partying face', '🧿': 'nazar amulet', '\U0001faa6': 'headstone', '💕': 'two hearts'}"
11920,"{'😭': 'loudly crying face', '🍬': 'candy', '🍭': 'lollipop'}"
11922,{'🎃': 'jack-o-lantern'}
11926,{'🎄': 'Christmas tree'}
11928,{'♥': 'heart suit'}
11931,"{'💛': 'yellow heart', '🌻': 'sunflower', '☕': 'hot beverage'}"
11940,{'🎃': 'jack-o-lantern'}
11945,"{'🍃': 'leaf fluttering in wind', '🏫': 'school', '🦝': 'raccoon'}"
11953,{'💛': 'yellow heart'}
11980,{'👻': 'ghost'}
11985,{'🎃': 'jack-o-lantern'}
11995,{'💛': 'yellow heart'}
11997,"{'🖤': 'black heart', '🎃': 'jack-o-lantern'}"
12076,{'🥰': 'smiling face with hearts'}
12082,{'🎃': 'jack-o-lantern'}
12083,{'😭': 'loudly crying face'}
12086,{'🥺': 'pleading face'}
12111,{'👻': 'ghost'}
12130,"{'🎉': 'party popper', '🌟': 'glowing star', '🎃': 'jack-o-lantern'}"
12186,"{'🎃': 'jack-o-lantern', '💀': 'skull', '🍫': 'chocolate bar', '🦇': 'bat', '🧡': 'orange heart'}"
12194,{'🔴': 'red circle'}
12200,"{'💛': 'yellow heart', '💙': 'blue heart'}"
12220,{'❤️': 'red heart'}
12232,"{'👻': 'ghost', '🖤': 'black heart', '🌙': 'crescent moon', '🎃': 'jack-o-lantern'}"
12237,"{'🍫': 'chocolate bar', '🍭': 'lollipop', '🎃': 'jack-o-lantern', '🍬': 'candy'}"
12253,{'😂': 'face with tears of joy'}
12261,{'👻': 'ghost'}
12265,"{'💕': 'two hearts', '🎃': 'jack-o-lantern'}"
12289,{'🎃': 'jack-o-lantern'}
12291,"{'🕯️': 'candle', '🎃': 'jack-o-lantern'}"
12304,{'👹': 'ogre'}
12314,{'❤️': 'red heart'}
12358,"{'👉': 'backhand index pointing right', '💕': 'two hearts', '❤': 'red heart', '😍': 'smiling face with heart-eyes'}"
12364,{'✨': 'sparkles'}
12374,"{'💀': 'skull', '👻': 'ghost', '🎃': 'jack-o-lantern', '✨': 'sparkles'}"
12375,{'🎃': 'jack-o-lantern'}
12382,{'🎃': 'jack-o-lantern'}
12387,"{'🔪': 'kitchen knife', '🩸': 'drop of blood', '🤪': 'zany face'}"
12408,{'🥺': 'pleading face'}
12411,"{'👻': 'ghost', '💕': 'two hearts'}"
12415,{'🎃': 'jack-o-lantern'}
12432,"{'💀': 'skull', '🖤': 'black heart', '🎃': 'jack-o-lantern', '💜': 'purple heart'}"
12445,{'😳': 'flushed face'}
12454,{'🍂': 'fallen leaf'}
12457,{'👀': 'eyes'}
12461,{'♥': 'heart suit'}
12494,{'😛': 'face with tongue'}
12495,{'♥': 'heart suit'}
12503,"{'👉🏻': 'backhand index pointing right: light skin tone', '💕': 'two hearts', '💜': 'purple heart'}"
12510,"{'🎃': 'jack-o-lantern', '🤭': 'face with hand over mouth'}"
12511,{'😬': 'grimacing face'}
12521,"{'🍬': 'candy', '🎉': 'party popper'}"
12527,{'❤': 'red heart'}
12536,"{'🌙': 'crescent moon', '✨': 'sparkles'}"
12558,"{'🎃': 'jack-o-lantern', '😍': 'smiling face with heart-eyes'}"
12562,{'🎃': 'jack-o-lantern'}
12567,"{'🦌': 'deer', '🩸': 'drop of blood', '❤️\u200d🩹': 'mending heart'}"
12600,"{'🔪': 'kitchen knife', '👻': 'ghost', '🦇': 'bat', '🎃': 'jack-o-lantern'}"
12606,"{'🎉': 'party popper', '🎃': 'jack-o-lantern', '🌊': 'water wave'}"
12612,"{'👻': 'ghost', '🕷️': 'spider', '🎃': 'jack-o-lantern'}"
12617,"{'🦇': 'bat', '🎃': 'jack-o-lantern', '🕸': 'spider web'}"
12620,{'🤩': 'star-struck'}
12641,{'\U0001faa6': 'headstone'}
12675,{'🎃': 'jack-o-lantern'}
12685,"{'🎼': 'musical score', '👇': 'backhand index pointing down', '✨': 'sparkles'}"
12707,"{'👻': 'ghost', '🎃': 'jack-o-lantern', '🧙🏻\u200d♂️': 'man mage: light skin tone'}"
12736,"{'🦇': 'bat', '🎃': 'jack-o-lantern', '🕸': 'spider web'}"
12749,"{'👻': 'ghost', '🖤': 'black heart', '🎃': 'jack-o-lantern'}"
12758,"{'🧡': 'orange heart', '🖤': 'black heart', '💜': 'purple heart'}"
12782,{'🎃': 'jack-o-lantern'}
12783,"{'👻': 'ghost', '🧡': 'orange heart', '🎃': 'jack-o-lantern', '🖤': 'black heart'}"
12794,"{'😅': 'grinning face with sweat', '😵\u200d💫': 'face with spiral eyes'}"
12812,"{'🥳': 'partying face', '🎃': 'jack-o-lantern'}"
12817,"{'🔪': 'kitchen knife', '👻': 'ghost'}"
12827,{'😍': 'smiling face with heart-eyes'}
12834,"{'🍬': 'candy', '😈': 'smiling face with horns'}"
12836,{'🎃': 'jack-o-lantern'}
12838,"{'🎃': 'jack-o-lantern', '😀': 'grinning face', '😄': 'grinning face with smiling eyes', '🍭': 'lollipop', '🍬': 'candy', '🍫': 'chocolate bar', '👻': 'ghost', '🎮': 'video game', '🐨': 'koala'}"
12844,"{'👻': 'ghost', '🍬': 'candy', '🎃': 'jack-o-lantern'}"
12850,{'🪐': 'ringed planet'}
12860,"{'👻': 'ghost', '🍬': 'candy', '🎃': 'jack-o-lantern'}"
12861,"{'🥰': 'smiling face with hearts', '🎃': 'jack-o-lantern', '😈': 'smiling face with horns'}"
12863,{'😅': 'grinning face with sweat'}
12868,"{'👻': 'ghost', '🍬': 'candy', '🎃': 'jack-o-lantern'}"
12872,{'♥': 'heart suit'}
12878,"{'👻': 'ghost', '🍬': 'candy', '🎃': 'jack-o-lantern'}"
12884,"{'👻': 'ghost', '🍬': 'candy', '🎃': 'jack-o-lantern'}"
12888,{'👻': 'ghost'}
12910,{'🎃': 'jack-o-lantern'}
12913,"{'💀': 'skull', '👻': 'ghost', '🎃': 'jack-o-lantern', '👹': 'ogre'}"
12917,{'🎃': 'jack-o-lantern'}
12937,{'🥺': 'pleading face'}
12960,{'🎃': 'jack-o-lantern'}
12964,{'🎃': 'jack-o-lantern'}
12967,{'🥰': 'smiling face with hearts'}
12970,{'♥': 'heart suit'}
12996,{'🎃': 'jack-o-lantern'}
13002,{'🥺': 'pleading face'}
13008,"{'🎃': 'jack-o-lantern', '🃏': 'joker', '🦋': 'butterfly'}"
13018,"{'🎉': 'party popper', '🥳': 'partying face', '🎃': 'jack-o-lantern'}"
13038,"{'🖤': 'black heart', '🎃': 'jack-o-lantern', '👻': 'ghost', '🧡': 'orange heart', '✨': 'sparkles'}"
13041,"{'🧡': 'orange heart', '🖤': 'black heart', '🎃': 'jack-o-lantern'}"
13044,{'🛒': 'shopping cart'}
13079,"{'🔪': 'kitchen knife', '🎃': 'jack-o-lantern'}"
13112,"{'❤️': 'red heart', '🍄': 'mushroom'}"
13141,{'🎃': 'jack-o-lantern'}
13149,"{'🎃': 'jack-o-lantern', '😈': 'smiling face with horns'}"
13169,"{'🎼': 'musical score', '👇': 'backhand index pointing down', '✨': 'sparkles'}"
13182,"{'♥️': 'heart suit', '🙆🏻\u200d♀️': 'woman gesturing OK: light skin tone', '🍄': 'mushroom'}"
13202,{'♥': 'heart suit'}
13206,{'🤣': 'rolling on the floor laughing'}
13208,{'🥺': 'pleading face'}
13216,"{'🐶': 'dog face', '🦔': 'hedgehog', '🎃': 'jack-o-lantern'}"
13233,"{'😁': 'beaming face with smiling eyes', '🎃': 'jack-o-lantern'}"
13255,{'✨': 'sparkles'}
13266,{'👻': 'ghost'}
13288,{'♥': 'heart suit'}
13300,"{'🖤': 'black heart', '🎃': 'jack-o-lantern'}"
13309,{'💕': 'two hearts'}
13311,"{'😭': 'loudly crying face', '🥺': 'pleading face'}"
13316,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13326,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13335,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13337,{'🎃': 'jack-o-lantern'}
13345,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13358,{'😂': 'face with tears of joy'}
13359,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13369,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13375,{'♥': 'heart suit'}
13382,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13393,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13400,{'™': 'trade mark'}
13405,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13422,{'🤔': 'thinking face'}
13436,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13459,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13462,"{'👻': 'ghost', '🍬': 'candy', '🎃': 'jack-o-lantern'}"
13468,{'💀': 'skull'}
13478,{'🥰': 'smiling face with hearts'}
13479,{'🎃': 'jack-o-lantern'}
13495,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
13497,{'🎃': 'jack-o-lantern'}
13503,"{'🤍': 'white heart', '🎃': 'jack-o-lantern'}"
13510,{'🎃': 'jack-o-lantern'}
13520,"{'🍂': 'fallen leaf', '\U0001fab5': 'wood', '🎃': 'jack-o-lantern'}"
13526,{'😊': 'smiling face with smiling eyes'}
13533,"{'🍭': 'lollipop', '🎃': 'jack-o-lantern', '✨': 'sparkles'}"
13556,"{'🖤': 'black heart', '🌙': 'crescent moon', '🎃': 'jack-o-lantern'}"
13563,"{'✨': 'sparkles', '🥺': 'pleading face'}"
13588,{'😂': 'face with tears of joy'}
13590,{'🎃': 'jack-o-lantern'}
13621,"{'☀️': 'sun', '🌙': 'crescent moon'}"
13624,"{'🧡': 'orange heart', '🎃': 'jack-o-lantern', '✨': 'sparkles'}"
13632,{'🎃': 'jack-o-lantern'}
13635,{'🏝': 'desert island'}
13645,"{'🎃': 'jack-o-lantern', '🍭': 'lollipop', '🌖': 'waning gibbous moon', '👻': 'ghost', '🧡': 'orange heart'}"
13672,"{'🦇': 'bat', '🎃': 'jack-o-lantern'}"
13697,{'🎃': 'jack-o-lantern'}
13700,{'🎃': 'jack-o-lantern'}
13708,{'♥': 'heart suit'}
13717,{'❤️': 'red heart'}
13719,{'♥': 'heart suit'}
13721,{'🎃': 'jack-o-lantern'}
13725,{'♥': 'heart suit'}
13744,"{'🦇': 'bat', '🎃': 'jack-o-lantern'}"
13750,{'🎃': 'jack-o-lantern'}
13760,{'♥': 'heart suit'}
13771,{'♥': 'heart suit'}
13772,{'🎃': 'jack-o-lantern'}
13777,"{'🐢': 'turtle', '❤': 'red heart', '🎃': 'jack-o-lantern'}"
13788,{'♥': 'heart suit'}
13803,{'♥': 'heart suit'}
13809,{'♥': 'heart suit'}
13816,"{'🍫': 'chocolate bar', '👻': 'ghost', '🍬': 'candy', '🎃': 'jack-o-lantern'}"
13821,{'🥺': 'pleading face'}
13838,"{'🍬': 'candy', '🎃': 'jack-o-lantern'}"
13846,{'♥': 'heart suit'}
13854,"{'🍬': 'candy', '🎃': 'jack-o-lantern', '🍭': 'lollipop'}"
13856,{'🎃': 'jack-o-lantern'}
13863,{'🎃': 'jack-o-lantern'}
13873,"{'👻': 'ghost', '🍭': 'lollipop', '🎃': 'jack-o-lantern', '👹': 'ogre'}"
13891,"{'🎃': 'jack-o-lantern', '🥺': 'pleading face'}"
13898,{'🎃': 'jack-o-lantern'}
13916,{'🎃': 'jack-o-lantern'}
13919,{'🤓': 'nerd face'}
13945,"{'👻': 'ghost', '❤️': 'red heart', '🎃': 'jack-o-lantern'}"
13948,{'☺️': 'smiling face'}
13952,{'🎃': 'jack-o-lantern'}
13961,{'😭': 'loudly crying face'}
13993,"{'🧙\u200d♀️': 'woman mage', '🎃': 'jack-o-lantern'}"
14006,{'🎃': 'jack-o-lantern'}
14013,{'🎃': 'jack-o-lantern'}
14019,{'🎃': 'jack-o-lantern'}
14026,{'♥': 'heart suit'}
14035,"{'👻': 'ghost', '🎃': 'jack-o-lantern', '🕷': 'spider'}"
14065,{'😪': 'sleepy face'}
14081,{'🎃': 'jack-o-lantern'}
14101,"{'❤️': 'red heart', '💚': 'green heart'}"
14112,{'\U0001f972': 'smiling face with tear'}
14118,"{'🖤': 'black heart', '🎃': 'jack-o-lantern'}"
14133,"{'🎃': 'jack-o-lantern', '💜': 'purple heart'}"
14136,"{'🎃': 'jack-o-lantern', '💜': 'purple heart'}"
14166,{'💀': 'skull'}
14177,{'💀': 'skull'}
14181,{'🥺': 'pleading face'}
14193,"{'🍒': 'cherries', '🎃': 'jack-o-lantern', '🧚🏼\u200d♀️': 'woman fairy: medium-light skin tone'}"
14196,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
14202,"{'👻': 'ghost', '🎃': 'jack-o-lantern', '🤠': 'cowboy hat face'}"
14204,{'🎃': 'jack-o-lantern'}
14209,{'🎃': 'jack-o-lantern'}
14218,"{'🌾': 'sheaf of rice', '🎃': 'jack-o-lantern'}"
14244,"{'🧡': 'orange heart', '🎃': 'jack-o-lantern', '🥺': 'pleading face'}"
14247,{'🎃': 'jack-o-lantern'}
14253,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
14260,{'💖': 'sparkling heart'}
14267,{'🎃': 'jack-o-lantern'}
14270,"{'😭': 'loudly crying face', '😍': 'smiling face with heart-eyes'}"
14276,{'😂': 'face with tears of joy'}
14281,"{'💕': 'two hearts', '✨': 'sparkles'}"
14298,{'♥': 'heart suit'}
14302,{'♥': 'heart suit'}
14315,{'🎃': 'jack-o-lantern'}
14319,{'😮\u200d💨': 'face exhaling'}
14354,"{'👻': 'ghost', '🐱': 'cat face', '🎃': 'jack-o-lantern', '😂': 'face with tears of joy'}"
14356,"{'💜': 'purple heart', '😍': 'smiling face with heart-eyes'}"
14364,"{'🍂': 'fallen leaf', '🎃': 'jack-o-lantern', '🕸': 'spider web'}"
14376,"{'🍂': 'fallen leaf', '⛩️': 'shinto shrine', '🐺': 'wolf'}"
14391,{'🍂': 'fallen leaf'}
14392,{'🎃': 'jack-o-lantern'}
14399,"{'🍬': 'candy', '🎃': 'jack-o-lantern', '🍭': 'lollipop'}"
14414,{'🥺': 'pleading face'}
14458,{'♥': 'heart suit'}
14459,"{'🎃': 'jack-o-lantern', '✨': 'sparkles'}"
14466,"{'🧡': 'orange heart', '🎃': 'jack-o-lantern'}"
14469,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
14472,{'♥': 'heart suit'}
14480,"{'👻': 'ghost', '🎃': 'jack-o-lantern'}"
14486,"{'🌧': 'cloud with rain', '🏘': 'houses'}"
14494,{'♥': 'heart suit'}
14496,{'😍': 'smiling face with heart-eyes'}
14505,{'♥': 'heart suit'}
14512,"{'🔴': 'red circle', '🎃': 'jack-o-lantern'}"
14522,{'🤩': 'star-struck'}
14530,"{'🍁': 'maple leaf', '🎃': 'jack-o-lantern'}"
14553,{'😭': 'loudly crying face'}
14558,"{'👻': 'ghost', '🙈': 'see-no-evil monkey', '😅': 'grinning face with sweat'}"
14569,{'🎃': 'jack-o-lantern'}
14572,{'🤣': 'rolling on the floor laughing'}
14606,"{'💛': 'yellow heart', '🎃': 'jack-o-lantern', '🥺': 'pleading face'}"
14627,"{'👻': 'ghost', '🍬': 'candy', '🎃': 'jack-o-lantern'}"
